Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
GS32,ee,-3.0,1.809836443825492,0.2097477275970374,28000.0,,,,,,,,
GS32,ee,-2.0,2.422417410452451,0.1137873488861496,28000.0,,,,,,,,
GS32,ee,-1.0,2.9622549215076224,0.7107413210169305,28000.0,,,,,,,,
GS32,ee,0.0,4.114930737778544,0.1625436855362689,28000.0,,,,,,,,
GS32,ee,1.0,4.033342451356352,0.5665016199737778,28000.0,,,,,,,,
GS32,ee,2.0,4.616787791544837,0.0594898994409106,28000.0,,,,,,,,
GS32,ee,3.0,4.714986743437392,0.0234046607488249,28000.0,,,,,,,,
GS48,ee,-3.0,2.107843477912992,0.2337090789665279,26416.0,,,,,,,,
GS48,ee,-2.0,2.676993036501384,0.7396431179738902,22425.0,,,,,,,,
GS48,ee,-1.0,4.385754054609321,0.8252585927848544,27551.0,,,,,,,,
GS48,ee,0.0,4.682540128769393,0.4561406496012299,28045.0,,,,,,,,
GS48,ee,1.0,5.363686817527391,0.2409973999698425,28045.0,,,,,,,,
GS48,ee,2.0,5.726454106570991,0.0545346572346658,28045.0,,,,,,,,
GS48,ee,3.0,5.840193103903393,0.0451008129118836,28045.0,,,,,,,,
GS16,ee,-3.0,2.4022682192825844,0.0824006691541917,28000.0,,,,,,,,
GS16,ee,-2.0,2.537860602221319,0.1159234944157773,28000.0,,,,,,,,
GS16,ee,-1.0,2.7311220238943186,0.0502618524536831,28000.0,,,,,,,,
GS16,ee,0.0,2.9147442680480227,0.0259255666199888,28000.0,,,,,,,,
GS16,ee,1.0,2.9597424471761498,0.0142732070166266,28000.0,,,,,,,,
GS16,ee,2.0,3.104105512166662,0.0115156319454373,28000.0,,,,,,,,
GS16,ee,3.0,3.1678610253642714,0.0143895658470348,28000.0,,,,,,,,
GS8,ee,-3.0,1.868377695449761,0.0077354171951705,28000.0,,,,,,,,
GS8,ee,-2.0,1.8968627053690807,0.0045164283623202,28000.0,,,,,,,,
GS8,ee,-1.0,1.9253357662824648,0.0099144242785743,28000.0,,,,,,,,
GS8,ee,0.0,1.98593376330712,0.0060484045709141,28000.0,,,,,,,,
GS8,ee,1.0,2.0082542191350035,0.0065256331149647,28000.0,,,,,,,,
GS8,ee,2.0,2.0618792465307885,0.0129162857454212,28000.0,,,,,,,,
GS8,ee,3.0,2.0711112000984806,0.006565699805504,28000.0,,,,,,,,
GS40,ee,-3.0,2.358212734174736,0.5919690941550854,25059.0,,,,,,,,
GS40,ee,-2.0,2.199644682369016,0.5208132041547262,27003.0,,,,,,,,
GS40,ee,-1.0,3.69791283969596,0.4031863161462266,28040.0,,,,,,,,
GS40,ee,0.0,4.650516137681614,0.1938898443226676,28040.0,,,,,,,,
GS40,ee,1.0,4.857690578780951,0.1183181684098514,28040.0,,,,,,,,
GS40,ee,2.0,5.168966280469158,0.1289390987929483,28040.0,,,,,,,,
GS40,ee,3.0,5.315249488247657,0.0273537538043419,28040.0,,,,,,,,
GS64,ee,-3.0,2.3729902070803304,0.5514399291342289,28000.0,,,,,,,,
GS64,ee,-2.0,2.580412162972348,0.6595430904567149,28000.0,,,,,,,,
GS64,ee,-1.0,3.2151146626568265,1.3786870932462378,28000.0,,,,,,,,
GS64,ee,0.0,5.699591038434633,0.3145146818650877,28000.0,,,,,,,,
GS64,ee,1.0,5.903697331401919,0.5246842668062723,28000.0,,,,,,,,
GS64,ee,2.0,6.341201816731266,0.3870308394675585,28000.0,,,,,,,,
GS64,ee,3.0,6.7201980093611136,0.0394958341349393,28000.0,,,,,,,,
GS24,ee,-3.0,2.237591397766556,0.3091661742061823,28000.0,,,,,,,,
GS24,ee,-2.0,2.675275697857141,0.3526329408026522,28000.0,,,,,,,,
GS24,ee,-1.0,2.9686383590825964,0.2456236436495325,28000.0,,,,,,,,
GS24,ee,0.0,3.597450308559196,0.0425959082331245,28000.0,,,,,,,,
GS24,ee,1.0,3.705137155764869,0.0843680519476687,28000.0,,,,,,,,
GS24,ee,2.0,3.937526462633695,0.0323613290529916,28000.0,,,,,,,,
GS24,ee,3.0,4.009153652593493,0.0251575720603036,28000.0,,,,,,,,
GS32,rg,-3.0,1.0384697707625286,0.0799517183439145,28000.0,,,,,,,,
GS32,rg,-2.0,1.189791263980129,0.1072175795146201,28000.0,,,,,,,,
GS32,rg,-1.0,1.3639428162004843,0.2405157288384689,28000.0,,,,,,,,
GS32,rg,0.0,1.789361307909497,0.0604793374338465,28000.0,,,,,,,,
GS32,rg,1.0,1.7491757030292667,0.2348873053179053,28000.0,,,,,,,,
GS32,rg,2.0,1.972374369743689,0.0264093213385533,28000.0,,,,,,,,
GS32,rg,3.0,2.014030728997492,0.0119533331281995,28000.0,,,,,,,,
GS48,rg,-3.0,1.184864138486828,0.0796506348204169,26416.0,,,,,,,,
GS48,rg,-2.0,1.3732729965264994,0.2172200155875355,22425.0,,,,,,,,
GS48,rg,-1.0,1.9323678335308596,0.337448217364153,27551.0,,,,,,,,
GS48,rg,0.0,2.06915633288768,0.1837706753460046,28045.0,,,,,,,,
GS48,rg,1.0,2.318020645113748,0.1000152018716923,28045.0,,,,,,,,
GS48,rg,2.0,2.475273774687953,0.0259078351766572,28045.0,,,,,,,,
GS48,rg,3.0,2.5247520975422595,0.0130195063743284,28045.0,,,,,,,,
GS16,rg,-3.0,1.1019094937227696,0.0296469443685292,28000.0,,,,,,,,
GS16,rg,-2.0,1.1536462863989672,0.0341796359147505,28000.0,,,,,,,,
GS16,rg,-1.0,1.2125715214739627,0.0149980198855571,28000.0,,,,,,,,
GS16,rg,0.0,1.274601462775414,0.0064216778558275,28000.0,,,,,,,,
GS16,rg,1.0,1.2927538927722555,0.0040203314989054,28000.0,,,,,,,,
GS16,rg,2.0,1.3374782835047925,0.0028222329786665,28000.0,,,,,,,,
GS16,rg,3.0,1.3590178372344142,0.0045049794749923,28000.0,,,,,,,,
GS8,rg,-3.0,0.8573018674580727,0.0020423672014538,28000.0,,,,,,,,
GS8,rg,-2.0,0.8659668312786576,0.0012080084090544,28000.0,,,,,,,,
GS8,rg,-1.0,0.8734726309485782,0.0018557590504011,28000.0,,,,,,,,
GS8,rg,0.0,0.8914208780389276,0.0012036077823341,28000.0,,,,,,,,
GS8,rg,1.0,0.8980627849544143,0.0015967418096473,28000.0,,,,,,,,
GS8,rg,2.0,0.9125029758138196,0.002572091501749,28000.0,,,,,,,,
GS8,rg,3.0,0.9191259924173744,0.0026162735176064,28000.0,,,,,,,,
GS40,rg,-3.0,1.2034617014453752,0.1890335238402378,25059.0,,,,,,,,
GS40,rg,-2.0,1.2568845907782633,0.1062992934486086,27003.0,,,,,,,,
GS40,rg,-1.0,1.655413375374993,0.1547920321564871,28040.0,,,,,,,,
GS40,rg,0.0,2.0058359695310832,0.0945894182163922,28040.0,,,,,,,,
GS40,rg,1.0,2.0974361633513414,0.0447346221499174,28040.0,,,,,,,,
GS40,rg,2.0,2.2267753926527685,0.0363350421521624,28040.0,,,,,,,,
GS40,rg,3.0,2.2819615689217665,0.0133334963698269,28040.0,,,,,,,,
GS64,rg,-3.0,1.4596861606332514,0.1221446370910807,28000.0,,,,,,,,
GS64,rg,-2.0,1.5238997052746992,0.1107617573473259,28000.0,,,,,,,,
GS64,rg,-1.0,1.6742528517004365,0.2302171120704603,28000.0,,,,,,,,
GS64,rg,0.0,2.5068212926160864,0.1178368757732339,28000.0,,,,,,,,
GS64,rg,1.0,2.6010004281892845,0.2434234155584986,28000.0,,,,,,,,
GS64,rg,2.0,2.758750345643989,0.2009917875260916,28000.0,,,,,,,,
GS64,rg,3.0,2.9553532129360507,0.0172836016964108,28000.0,,,,,,,,
GS24,rg,-3.0,1.087101840429538,0.1179236901950789,28000.0,,,,,,,,
GS24,rg,-2.0,1.2389130571256215,0.102793413474588,28000.0,,,,,,,,
GS24,rg,-1.0,1.3304810435105108,0.096300173560644,28000.0,,,,,,,,
GS24,rg,0.0,1.5669248833319844,0.0159720559828367,28000.0,,,,,,,,
GS24,rg,1.0,1.603738645587658,0.0273329223558628,28000.0,,,,,,,,
GS24,rg,2.0,1.6878632987532174,0.0077196246282605,28000.0,,,,,,,,
GS24,rg,3.0,1.7088186540894827,0.0081265166678546,28000.0,,,,,,,,
GS32,HB,-3.0,0.3897270196726775,0.0193079049547502,28000.0,,,,,,,,
GS32,HB,-2.0,0.3062277703710739,0.0282802663819179,28000.0,,,,,,,,
GS32,HB,-1.0,0.2673582957293741,0.0965216520884128,28000.0,,,,,,,,
GS32,HB,0.0,0.1359381615611942,0.0135680650263919,28000.0,,,,,,,,
GS32,HB,1.0,0.1644645707140261,0.0921102927013118,28000.0,,,,,,,,
GS32,HB,2.0,0.0996288292932847,0.0069998296020917,28000.0,,,,,,,,
GS32,HB,3.0,0.0903253116260309,0.0025842550100139,28000.0,,,,,,,,
GS48,HB,-3.0,0.3961353914294367,0.039837861339589,26416.0,,,,,,,,
GS48,HB,-2.0,0.3458519137866964,0.0773436962304301,22425.0,,,,,,,,
GS48,HB,-1.0,0.2115094986169074,0.0837240724796278,27551.0,,,,,,,,
GS48,HB,0.0,0.1778026164779571,0.0359266000090964,28045.0,,,,,,,,
GS48,HB,1.0,0.1274578748807725,0.0208616816394602,28045.0,,,,,,,,
GS48,HB,2.0,0.0996928819969041,0.0028054081418035,28045.0,,,,,,,,
GS48,HB,3.0,0.0938876156683436,0.0040270688491935,28045.0,,,,,,,,
GS16,HB,-3.0,0.1765994040103333,0.0118870637727322,28000.0,,,,,,,,
GS16,HB,-2.0,0.1601144002718839,0.01826577495006,28000.0,,,,,,,,
GS16,HB,-1.0,0.1356641750636486,0.0066475265018506,28000.0,,,,,,,,
GS16,HB,0.0,0.1167628486528074,0.0035070787657092,28000.0,,,,,,,,
GS16,HB,1.0,0.1119872082222423,0.0025182215789069,28000.0,,,,,,,,
GS16,HB,2.0,0.1001080452786495,0.0017791948095774,28000.0,,,,,,,,
GS16,HB,3.0,0.094975895614569,0.0019965809662956,28000.0,,,,,,,,
GS8,HB,-3.0,0.1389178547726978,0.0014643350217223,28000.0,,,,,,,,
GS8,HB,-2.0,0.1345504959531902,0.0016626123747225,28000.0,,,,,,,,
GS8,HB,-1.0,0.131447537124148,0.0020473295623281,28000.0,,,,,,,,
GS8,HB,0.0,0.1264290745216537,0.0021106480813421,28000.0,,,,,,,,
GS8,HB,1.0,0.1228156872048791,0.0018428398662931,28000.0,,,,,,,,
GS8,HB,2.0,0.1187056338894113,0.0008323262078195,28000.0,,,,,,,,
GS8,HB,3.0,0.1156706057329639,0.0020197782897454,28000.0,,,,,,,,
GS40,HB,-3.0,0.3615672014046849,0.0766412808930143,25059.0,,,,,,,,
GS40,HB,-2.0,0.3549054734659111,0.0383083993638548,27003.0,,,,,,,,
GS40,HB,-1.0,0.2304747157039733,0.051208916430582,28040.0,,,,,,,,
GS40,HB,0.0,0.1451060068651244,0.0223877770364873,28040.0,,,,,,,,
GS40,HB,1.0,0.1236585699242579,0.0093297481648574,28040.0,,,,,,,,
GS40,HB,2.0,0.100258638506333,0.0066559850584491,28040.0,,,,,,,,
GS40,HB,3.0,0.0912580085612088,0.0020833991563053,28040.0,,,,,,,,
GS64,HB,-3.0,0.3342318638392857,0.0678126921631741,28000.0,,,,,,,,
GS64,HB,-2.0,0.3356088169642857,0.0411292744049058,28000.0,,,,,,,,
GS64,HB,-1.0,0.3117650669642857,0.0336746370952933,28000.0,,,,,,,,
GS64,HB,0.0,0.1674997209821428,0.0306221475889428,28000.0,,,,,,,,
GS64,HB,1.0,0.1537625558035714,0.0532351821201435,28000.0,,,,,,,,
GS64,HB,2.0,0.1274698660714285,0.0419547868616294,28000.0,,,,,,,,
GS64,HB,3.0,0.0922691302895287,0.0015799525846132,28000.0,,,,,,,,
GS24,HB,-3.0,0.2949778084139423,0.0596729375954403,28000.0,,,,,,,,
GS24,HB,-2.0,0.2332493537195957,0.0459266725332425,28000.0,,,,,,,,
GS24,HB,-1.0,0.2028712924757538,0.0383360375047978,28000.0,,,,,,,,
GS24,HB,0.0,0.1235252766065082,0.0070048948828018,28000.0,,,,,,,,
GS24,HB,1.0,0.1153293829864898,0.0107611571025614,28000.0,,,,,,,,
GS24,HB,2.0,0.0954625514797182,0.0025637439125665,28000.0,,,,,,,,
GS24,HB,3.0,0.0918578841565923,0.002894259807153,28000.0,,,,,,,,
GS32,helix,-3.0,0.0305625,0.0309764923559069,28000.0,,,,,,,,
GS32,helix,-2.0,0.0238314732142857,0.0133373049186193,28000.0,,,,,,,,
GS32,helix,-1.0,0.0253532366071428,0.0060389132434544,28000.0,,,,,,,,
