Protein,distance,angle,MTFE,Omega2/Omega1,Frame
GS32,0.0,60,-3.0,0.1500714285714285,28000
GS32,0.0,60,-2.0,0.1945833333333333,28000
GS32,0.0,60,-1.0,0.2411190476190476,28000
GS32,0.0,60,0.0,0.2409702380952381,28000
GS32,0.0,60,1.0,0.25225,28000
GS32,0.0,60,2.0,0.2561369047619047,28000
GS32,0.0,60,3.0,0.2537678571428571,28000
GS32,0.0,30,-3.0,0.0947023809523809,28000
GS32,0.0,30,-2.0,0.1453928571428571,28000
GS32,0.0,30,-1.0,0.185172619047619,28000
GS32,0.0,30,0.0,0.1795059523809523,28000
GS32,0.0,30,1.0,0.1900238095238095,28000
GS32,0.0,30,2.0,0.1920297619047619,28000
GS32,0.0,30,3.0,0.191970238095238,28000
GS32,0.0,1,-3.0,0.0485416666666666,28000
GS32,0.0,1,-2.0,0.0802083333333333,28000
GS32,0.0,1,-1.0,0.1045238095238095,28000
GS32,0.0,1,0.0,0.0994642857142857,28000
GS32,0.0,1,1.0,0.1038630952380952,28000
GS32,0.0,1,2.0,0.106875,28000
GS32,0.0,1,3.0,0.1080357142857142,28000
GS32,0.2,30,-3.0,0.1558869047619047,28000
GS32,0.2,30,-2.0,0.2103630952380952,28000
GS32,0.2,30,-1.0,0.2529345238095238,28000
GS32,0.2,30,0.0,0.2382380952380952,28000
GS32,0.2,30,1.0,0.2522619047619047,28000
GS32,0.2,30,2.0,0.2483035714285714,28000
GS32,0.2,30,3.0,0.2475654761904762,28000
GS32,0.2,1,-3.0,0.0922857142857142,28000
GS32,0.2,1,-2.0,0.1394345238095238,28000
GS32,0.2,1,-1.0,0.17225,28000
GS32,0.2,1,0.0,0.1574702380952381,28000
GS32,0.2,1,1.0,0.1661845238095238,28000
GS32,0.2,1,2.0,0.1658333333333333,28000
GS32,0.2,1,3.0,0.1674047619047619,28000
GS32,0.5,1,-3.0,0.1821488095238095,28000
GS32,0.5,1,-2.0,0.248172619047619,28000
GS32,0.5,1,-1.0,0.2685238095238095,28000
GS32,0.5,1,0.0,0.2393392857142857,28000
GS32,0.5,1,1.0,0.2516666666666666,28000
GS32,0.5,1,2.0,0.2444821428571428,28000
GS32,0.5,1,3.0,0.2454821428571428,28000
GS48,0.0,60,-3.0,0.168319705229154,26416
GS48,0.0,60,-2.0,0.1329319955406911,22425
GS48,0.0,60,-1.0,0.2060723748684258,27551
GS48,0.0,60,-0.5,0.2017508243515921,27092
GS48,0.0,60,0.0,0.2023355321804243,28045
