Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
puma_scramble_12,ee,-3.0,1.659165931294362,0.3090077203124037,16800.0,,,,,,,,
puma_scramble_12,ee,-2.0,1.9073510896095207,0.1576161442307331,16800.0,,,,,,,,
puma_scramble_12,ee,-1.0,2.6948475681902866,0.0531376258495846,14719.0,,,,,,,,
puma_scramble_12,ee,0.0,3.6784607174846906,0.0825759544102443,13668.0,,,,,,,,
puma_scramble_12,ee,1.0,4.169169538348281,0.0277446853065802,14610.0,,,,,,,,
puma_scramble_12,ee,2.0,4.461401779240086,0.0465560468956676,16800.0,,,,,,,,
puma_scramble_12,ee,3.0,4.650527047954855,0.0098579667165445,16800.0,,,,,,,,
puma_scramble_27,ee,-3.0,1.6902198997583415,0.2292239382765873,16800.0,,,,,,,,
puma_scramble_27,ee,-2.0,1.9057630170633395,0.2081232708684122,16800.0,,,,,,,,
puma_scramble_27,ee,-1.0,2.3170216281445963,0.1889322838203563,16800.0,,,,,,,,
puma_scramble_27,ee,0.0,2.8264530151355123,0.2052410846177106,16800.0,,,,,,,,
puma_scramble_27,ee,1.0,3.623925857109328,0.0906098250036018,16800.0,,,,,,,,
puma_scramble_27,ee,2.0,4.106935537496493,0.0518707887498265,16800.0,,,,,,,,
puma_scramble_27,ee,3.0,4.398307738976464,0.0174033049971635,16800.0,,,,,,,,
puma_scramble_88,ee,-3.0,1.855047341992072,0.1145116669096409,16813.0,,,,,,,,
puma_scramble_88,ee,-2.0,1.7396736303648794,0.3195719371728809,16826.0,,,,,,,,
puma_scramble_88,ee,-1.0,2.243306439139488,0.122313164990342,33643.0,,,,,,,,
puma_scramble_88,ee,0.0,2.787261823098226,0.1061194069673191,33642.0,,,,,,,,
puma_scramble_88,ee,1.0,3.2119448709147096,0.0167151463184879,33648.0,,,,,,,,
puma_scramble_88,ee,2.0,3.4249272071732064,0.0188193791575686,16824.0,,,,,,,,
puma_scramble_88,ee,3.0,3.5840561879401087,0.0129628303441885,16824.0,,,,,,,,
