Protein,distance,angle,MTFE,Omega2/Omega1,Frame
puma_scramble_12,0.0,60,-3.0,0.1747916666666666,16800
puma_scramble_12,0.0,60,-2.0,0.1964087301587301,16800
puma_scramble_12,0.0,60,-1.0,0.241603822723464,14719
puma_scramble_12,0.0,60,-0.5,0.2436210317460317,16800
puma_scramble_12,0.0,60,0.0,0.2512559750268267,13668
puma_scramble_12,0.0,60,0.5,0.2715773809523809,16800
puma_scramble_12,0.0,60,1.0,0.2826146475017111,14610
puma_scramble_12,0.0,60,2.0,0.3069742063492063,16800
puma_scramble_12,0.0,60,3.0,0.3208134920634921,16800
puma_scramble_12,0.0,30,-3.0,0.207688492063492,16800
puma_scramble_12,0.0,30,-2.0,0.2322420634920635,16800
puma_scramble_12,0.0,30,-1.0,0.2424983581312136,14719
puma_scramble_12,0.0,30,-0.5,0.2454761904761905,16800
puma_scramble_12,0.0,30,0.0,0.2486098917178811,13668
puma_scramble_12,0.0,30,0.5,0.2603075396825396,16800
puma_scramble_12,0.0,30,1.0,0.2644307551905088,14610
puma_scramble_12,0.0,30,2.0,0.2759821428571428,16800
puma_scramble_12,0.0,30,3.0,0.2847619047619047,16800
puma_scramble_12,0.0,1,-3.0,0.2116865079365079,16800
puma_scramble_12,0.0,1,-2.0,0.2215277777777777,16800
puma_scramble_12,0.0,1,-1.0,0.2097742147337908,14719
puma_scramble_12,0.0,1,-0.5,0.2110912698412698,16800
puma_scramble_12,0.0,1,0.0,0.2122963613306019,13668
puma_scramble_12,0.0,1,0.5,0.2154761904761905,16800
puma_scramble_12,0.0,1,1.0,0.2123659593885466,14610
puma_scramble_12,0.0,1,2.0,0.2148115079365079,16800
puma_scramble_12,0.0,1,3.0,0.2180059523809523,16800
puma_scramble_12,0.2,30,-3.0,0.2633829365079365,16800
puma_scramble_12,0.2,30,-2.0,0.2967460317460317,16800
puma_scramble_12,0.2,30,-1.0,0.2987635029553638,14719
puma_scramble_12,0.2,30,-0.5,0.2985813492063492,16800
puma_scramble_12,0.2,30,0.0,0.2981538386498878,13668
puma_scramble_12,0.2,30,0.5,0.3095535714285714,16800
puma_scramble_12,0.2,30,1.0,0.313347022587269,14610
puma_scramble_12,0.2,30,2.0,0.3260912698412698,16800
puma_scramble_12,0.2,30,3.0,0.3339186507936508,16800
puma_scramble_12,0.2,1,-3.0,0.2861706349206349,16800
puma_scramble_12,0.2,1,-2.0,0.2908035714285714,16800
puma_scramble_12,0.2,1,-1.0,0.2760604207713386,14719
puma_scramble_12,0.2,1,-0.5,0.2748809523809524,16800
puma_scramble_12,0.2,1,0.0,0.2719612720710174,13668
puma_scramble_12,0.2,1,0.5,0.2744345238095238,16800
puma_scramble_12,0.2,1,1.0,0.2704426192105864,14610
puma_scramble_12,0.2,1,2.0,0.2694444444444444,16800
puma_scramble_12,0.2,1,3.0,0.2711607142857143,16800
puma_scramble_12,0.5,1,-3.0,0.3801984126984127,16800
puma_scramble_12,0.5,1,-2.0,0.3763293650793651,16800
puma_scramble_12,0.5,1,-1.0,0.3655705777113481,14719
puma_scramble_12,0.5,1,-0.5,0.3628571428571429,16800
puma_scramble_12,0.5,1,0.0,0.3538435274607355,13668
puma_scramble_12,0.5,1,0.5,0.3531845238095238,16800
puma_scramble_12,0.5,1,1.0,0.3498859228838695,14610
puma_scramble_12,0.5,1,2.0,0.346140873015873,16800
puma_scramble_12,0.5,1,3.0,0.347797619047619,16800
puma_scramble_27,0.0,60,-3.0,0.1055753968253968,16800
puma_scramble_27,0.0,60,-2.0,0.075406746031746,16800
puma_scramble_27,0.0,60,-1.0,0.1062003968253968,16800
puma_scramble_27,0.0,60,-0.5,0.0512103174603174,16800
puma_scramble_27,0.0,60,0.0,0.1002281746031746,16800
puma_scramble_27,0.0,60,0.5,0.1596130952380952,16800
puma_scramble_27,0.0,60,1.0,0.2279662698412698,16800
puma_scramble_27,0.0,60,2.0,0.3433333333333333,16800
puma_scramble_27,0.0,60,3.0,0.4019742063492063,16800
puma_scramble_27,0.0,30,-3.0,0.055595238095238,16800
puma_scramble_27,0.0,30,-2.0,0.0491865079365079,16800
