Protein,distance,angle,MTFE,Omega2/Omega1,Frame
0.33fl,0.0,60,0.0,0.7191071428571428,28000
0.33fl,0.0,30,0.0,0.5236666666666666,28000
0.33fl,0.0,1,0.0,0.2264761904761904,28000
0.33fl,0.2,30,0.0,0.6592321428571428,28000
0.33fl,0.2,1,0.0,0.3766904761904762,28000
0.33fl,0.5,1,0.0,0.5978690476190476,28000
r1,0.0,60,-3.0,0.4962380952380952,28000
r1,0.0,60,-2.0,0.5389761904761905,28000
r1,0.0,60,-1.0,0.5368214285714286,28000
r1,0.0,60,-0.5,0.5430357142857143,28000
r1,0.0,60,0.0,0.539547619047619,28000
r1,0.0,60,0.5,0.5450714285714285,28000
r1,0.0,60,1.0,0.5449940476190476,28000
r1,0.0,60,2.0,0.547327380952381,28000
r1,0.0,60,3.0,0.5507083333333334,28000
r1,0.0,30,-3.0,0.3435238095238095,28000
r1,0.0,30,-2.0,0.3712440476190476,28000
r1,0.0,30,-1.0,0.3695119047619047,28000
r1,0.0,30,-0.5,0.3762142857142857,28000
r1,0.0,30,0.0,0.3752857142857143,28000
r1,0.0,30,0.5,0.3783214285714286,28000
r1,0.0,30,1.0,0.3778690476190476,28000
r1,0.0,30,2.0,0.3787380952380952,28000
r1,0.0,30,3.0,0.3831130952380952,28000
r1,0.0,1,-3.0,0.1691011904761905,28000
r1,0.0,1,-2.0,0.1926011904761904,28000
r1,0.0,1,-1.0,0.194547619047619,28000
r1,0.0,1,-0.5,0.1975059523809524,28000
r1,0.0,1,0.0,0.2003273809523809,28000
r1,0.0,1,0.5,0.2022797619047619,28000
r1,0.0,1,1.0,0.2004464285714285,28000
r1,0.0,1,2.0,0.2002797619047619,28000
r1,0.0,1,3.0,0.2035952380952381,28000
r1,0.2,30,-3.0,0.446297619047619,28000
r1,0.2,30,-2.0,0.4697976190476191,28000
r1,0.2,30,-1.0,0.4644761904761905,28000
r1,0.2,30,-0.5,0.4698988095238095,28000
r1,0.2,30,0.0,0.4668392857142857,28000
r1,0.2,30,0.5,0.4686428571428571,28000
r1,0.2,30,1.0,0.4683988095238095,28000
r1,0.2,30,2.0,0.4685535714285714,28000
r1,0.2,30,3.0,0.4701785714285714,28000
r1,0.2,1,-3.0,0.2574821428571429,28000
r1,0.2,1,-2.0,0.2763333333333333,28000
r1,0.2,1,-1.0,0.2767559523809524,28000
r1,0.2,1,-0.5,0.2800119047619047,28000
r1,0.2,1,0.0,0.2803630952380952,28000
r1,0.2,1,0.5,0.2813095238095238,28000
r1,0.2,1,1.0,0.278547619047619,28000
r1,0.2,1,2.0,0.2783928571428571,28000
r1,0.2,1,3.0,0.2792142857142857,28000
r1,0.5,1,-3.0,0.3836607142857143,28000
r1,0.5,1,-2.0,0.3899642857142857,28000
r1,0.5,1,-1.0,0.3849821428571429,28000
r1,0.5,1,-0.5,0.3868154761904762,28000
r1,0.5,1,0.0,0.3851190476190476,28000
r1,0.5,1,0.5,0.3843392857142857,28000
r1,0.5,1,1.0,0.3815892857142857,28000
r1,0.5,1,2.0,0.3798154761904762,28000
r1,0.5,1,3.0,0.3792916666666667,28000
fl,0.0,60,-3.0,0.1834047619047619,28000
fl,0.0,60,-2.0,0.2496130952380952,28000
fl,0.0,60,-1.0,0.3282678571428571,28000
fl,0.0,60,-0.5,0.3588452380952381,28000
fl,0.0,60,0.0,0.3844107142857143,28000
fl,0.0,60,0.5,0.4169523809523809,28000
fl,0.0,60,1.0,0.4345714285714285,28000
fl,0.0,60,2.0,0.4648452380952381,28000
fl,0.0,60,3.0,0.4968392857142857,28000
fl,0.0,30,-3.0,0.1190833333333333,28000
fl,0.0,30,-2.0,0.1689940476190476,28000
fl,0.0,30,-1.0,0.2288571428571428,28000
fl,0.0,30,-0.5,0.2553214285714286,28000
fl,0.0,30,0.0,0.2675238095238095,28000
fl,0.0,30,0.5,0.2945535714285714,28000
fl,0.0,30,1.0,0.3078214285714286,28000
fl,0.0,30,2.0,0.3326547619047619,28000
fl,0.0,30,3.0,0.355922619047619,28000
fl,0.0,1,-3.0,0.077625,28000
fl,0.0,1,-2.0,0.08575,28000
fl,0.0,1,-1.0,0.1066488095238095,28000
fl,0.0,1,-0.5,0.1106666666666666,28000
fl,0.0,1,0.0,0.1144047619047619,28000
fl,0.0,1,0.5,0.1247261904761904,28000
fl,0.0,1,1.0,0.1268333333333333,28000
fl,0.0,1,2.0,0.1374047619047619,28000
fl,0.0,1,3.0,0.1470238095238095,28000
fl,0.2,30,-3.0,0.2211011904761904,28000
fl,0.2,30,-2.0,0.2677857142857143,28000
fl,0.2,30,-1.0,0.3235238095238095,28000
