Protein,datatype,MTFE,Rs,Sd,Frame,Sequence,length,kappa,FCR,NCPR,Hydrophobicity,Expanding,delta
P15516,ee,-3.0,1.9477046504696425,0.5239550346264192,28050.0,,,,,,,,
P15516,ee,-2.0,2.151196215300025,0.2233944624824712,28045.0,,,,,,,,
P15516,ee,-1.0,2.3654878357872646,0.1279364507003716,28045.0,,,,,,,,
P15516,ee,0.0,2.587504749626245,0.1526606781940698,28045.0,,,,,,,,
P15516,ee,1.0,2.915237945506313,0.0347159665053046,28045.0,,,,,,,,
P15516,ee,2.0,3.2154760948539227,0.0251305733123216,28045.0,,,,,,,,
P15516,ee,3.0,3.4731968233198125,0.0401265002204749,28045.0,,,,,,,,
DP00103,ee,-3.0,1.4639786679643303,0.5565478699919456,28046.0,,,,,,,,
DP00103,ee,-2.0,2.1627800476531926,0.5811521280903539,28045.0,,,,,,,,
DP00103,ee,-1.0,2.2782202373683336,0.4047157944439136,28045.0,,,,,,,,
DP00103,ee,0.0,3.2667246253748887,0.1609395524409521,28045.0,,,,,,,,
DP00103,ee,1.0,3.625129843436156,0.1399742796770333,28045.0,,,,,,,,
DP00103,ee,2.0,3.9455287535638175,0.0382410353580033,28045.0,,,,,,,,
DP00103,ee,3.0,4.077990017325765,0.0330867500688759,28045.0,,,,,,,,
Q16236_tail,ee,-3.0,2.273984506038683,0.2052973994471568,28000.0,,,,,,,,
Q16236_tail,ee,-2.0,2.7251021752155253,0.1574088298616636,28000.0,,,,,,,,
Q16236_tail,ee,-1.0,3.0227586546444467,0.147613588828945,28000.0,,,,,,,,
Q16236_tail,ee,0.0,3.224688271869506,0.0376754188438269,28000.0,,,,,,,,
Q16236_tail,ee,1.0,3.3359683381723504,0.0464149339479782,28000.0,,,,,,,,
Q16236_tail,ee,2.0,3.475314215114074,0.0305991154163406,28000.0,,,,,,,,
Q16236_tail,ee,3.0,3.5900554810677257,0.0111232652108061,28000.0,,,,,,,,
DP00778,ee,-3.0,1.036111337744688,0.1331312447257336,28040.0,,,,,,,,
DP00778,ee,-2.0,1.1505770765511043,0.1846405946550168,28029.0,,,,,,,,
DP00778,ee,-1.0,1.244251541364708,0.1244349833944302,27759.0,,,,,,,,
DP00778,ee,0.0,1.563228125868952,0.1977927860587059,28032.0,,,,,,,,
DP00778,ee,1.0,2.043434453383939,0.1562415864891186,28032.0,,,,,,,,
DP00778,ee,2.0,2.927556360702851,0.1201141543888691,28032.0,,,,,,,,
DP00778,ee,3.0,3.443631480559579,0.0538127702443363,28032.0,,,,,,,,
DP00557,ee,-3.0,2.477430499540908,0.1658424786476742,28000.0,,,,,,,,
DP00557,ee,-2.0,2.403949545676155,0.3994571971490845,28000.0,,,,,,,,
DP00557,ee,-1.0,2.510539326835956,0.3052845087097934,28000.0,,,,,,,,
DP00557,ee,0.0,2.401809648545725,0.242950173861323,28000.0,,,,,,,,
DP00557,ee,1.0,2.922473568278764,0.3039654398113187,28000.0,,,,,,,,
DP00557,ee,2.0,3.514254058867693,0.2180620976397285,28000.0,,,,,,,,
DP00557,ee,3.0,4.190512661682708,0.064424202022796,28000.0,,,,,,,,
DP00718,ee,-3.0,1.384707069536405,0.1478356071658639,28000.0,,,,,,,,
DP00718,ee,-2.0,1.3880572065668446,0.0322611784056443,28000.0,,,,,,,,
DP00718,ee,-1.0,1.485569892038192,0.035158477420644,28000.0,,,,,,,,
DP00718,ee,0.0,1.5826471062174865,0.0375783998947081,28000.0,,,,,,,,
DP00718,ee,1.0,1.7364090896898083,0.0129211995882102,28000.0,,,,,,,,
DP00718,ee,2.0,1.833460038233016,0.0368061040379352,28000.0,,,,,,,,
DP00718,ee,3.0,2.0238679362290672,0.0150294005333419,28000.0,,,,,,,,
DP00011,ee,-3.0,1.5490413357030068,0.2558216161623535,28000.0,,,,,,,,
DP00011,ee,-2.0,1.4125832931175828,0.2596734617546348,28000.0,,,,,,,,
DP00011,ee,-1.0,1.4269169604703784,0.2172587564102466,28000.0,,,,,,,,
DP00011,ee,0.0,1.6079903697956883,0.2960619036961827,28000.0,,,,,,,,
DP00011,ee,1.0,1.8777007597259112,0.1139449356828315,28000.0,,,,,,,,
DP00011,ee,2.0,2.0538824036132013,0.1186536968198405,28000.0,,,,,,,,
DP00011,ee,3.0,2.833153454270746,0.1424694386469137,28000.0,,,,,,,,
DP01641,ee,-3.0,7.725697684457152,0.0773816793719529,28053.0,,,,,,,,
DP01641,ee,-2.0,8.15026476471311,0.0335448355211669,28063.0,,,,,,,,
DP01641,ee,-1.0,8.40717843361086,0.0187886698511439,28033.0,,,,,,,,
DP01641,ee,0.0,8.518712957114671,0.0539687968479743,28033.0,,,,,,,,
DP01641,ee,1.0,8.62105868705974,0.0221027327142968,28044.0,,,,,,,,
DP01641,ee,2.0,8.705398418056582,0.0342227292582311,28038.0,,,,,,,,
DP01641,ee,3.0,8.778934918764408,0.0223383750439609,28038.0,,,,,,,,
DP00055,ee,-3.0,1.3661388415460076,0.2314182246328502,28000.0,,,,,,,,
DP00055,ee,-2.0,1.455512120220278,0.1731997847312318,28000.0,,,,,,,,
DP00055,ee,-1.0,1.841413508729211,0.5513255591391998,28000.0,,,,,,,,
DP00055,ee,0.0,2.188771327918129,0.5553111675210468,28000.0,,,,,,,,
DP00055,ee,1.0,3.108143982642463,0.0702550110350554,28000.0,,,,,,,,
DP00055,ee,2.0,3.296466277374753,0.029915502763213,28000.0,,,,,,,,
DP00055,ee,3.0,3.3859470319684064,0.1196360121982953,28000.0,,,,,,,,
DP00007,ee,-3.0,3.058599896450128,0.3197846348857286,28000.0,,,,,,,,
DP00007,ee,-2.0,3.7665333682309305,0.0352479467040131,28000.0,,,,,,,,
DP00007,ee,-1.0,4.109900925761887,0.0533193012031551,28000.0,,,,,,,,
DP00007,ee,0.0,4.427160531028041,0.0246472815185202,28000.0,,,,,,,,
DP00007,ee,1.0,4.689641287678055,0.062383721197886,28000.0,,,,,,,,
DP00007,ee,2.0,4.837009605149073,0.017702854026669,28000.0,,,,,,,,
DP00007,ee,3.0,4.985062533251941,0.0197797500976902,28000.0,,,,,,,,
DP00398,ee,-3.0,1.921944368591266,0.3585167760383865,28000.0,,,,,,,,
DP00398,ee,-2.0,2.478079495530044,0.6219335897991893,28000.0,,,,,,,,
DP00398,ee,-1.0,2.761004051582089,0.2445160102253358,28000.0,,,,,,,,
DP00398,ee,0.0,3.296342673591205,0.214074308830691,28000.0,,,,,,,,
DP00398,ee,1.0,3.364577536874584,0.1729622123930747,28000.0,,,,,,,,
DP00398,ee,2.0,3.552205985084176,0.0773193436691674,28000.0,,,,,,,,
DP00398,ee,3.0,3.665947906385575,0.0214069885957041,28000.0,,,,,,,,
DP00575,ee,-3.0,1.4658705095542328,0.1981107321085201,28000.0,,,,,,,,
